Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2020-12-30,67.9,68.8,67.5,68.1,1.04,104535.0,1298.0,7132.4
2020-12-29,67.0,68.8,66.8,67.4,0.75,88232.0,1009.0,5965.02
2020-12-28,66.5,67.0,66.3,66.9,1.06,54772.0,841.0,3659.29
2020-12-23,66.2,66.6,66.0,66.2,0.0,30891.0,494.0,2046.29
2020-12-22,66.4,66.7,65.7,66.2,0.3,81877.0,629.0,5413.7
2020-12-21,66.3,67.2,65.5,66.0,-0.45,80045.0,1126.0,5291.18
2020-12-18,66.7,66.8,66.0,66.3,0.61,209340.0,2250.0,13875.53
2020-12-17,67.0,67.3,65.8,65.9,-1.2,131961.0,1335.0,8745.62
2020-12-16,66.8,67.4,66.3,66.7,0.45,98498.0,1321.0,6575.3
2020-12-15,66.0,66.8,66.0,66.4,0.91,59890.0,715.0,3986.59
2020-12-14,66.0,66.3,65.3,65.8,-0.15,160512.0,948.0,10554.84
2020-12-11,66.7,67.0,65.9,65.9,-1.35,75313.0,947.0,4997.05
2020-12-10,66.4,66.9,66.0,66.8,0.91,64338.0,610.0,4277.31
2020-12-09,66.5,66.7,66.0,66.2,-0.6,105652.0,1254.0,6998.64
2020-12-08,66.8,67.0,65.8,66.6,-0.3,66362.0,1133.0,4392.33
2020-12-07,67.2,67.2,66.1,66.8,0.3,51061.0,923.0,3394.67
2020-12-04,66.5,67.2,66.1,66.6,-0.15,97144.0,942.0,6470.25
2020-12-03,67.6,67.7,66.7,66.7,-1.19,52453.0,610.0,3517.29
2020-12-02,65.8,67.6,65.5,67.5,3.05,62213.0,796.0,4148.2
2020-12-01,66.1,67.0,65.5,65.5,-1.21,108025.0,1003.0,7151.82
2020-11-30,66.3,67.4,65.9,66.3,-0.15,85565.0,698.0,5682.76
2020-11-27,65.3,67.2,64.9,66.4,2.47,147109.0,1148.0,9758.23
2020-11-26,68.4,68.9,64.4,64.8,-4.42,621306.0,2701.0,40642.36
2020-11-25,69.0,69.7,67.8,67.8,2.73,151415.0,1803.0,10373.56
2020-11-24,67.8,67.9,66.0,66.0,-1.64,93741.0,946.0,6219.33
2020-11-23,69.9,69.9,66.0,67.1,-2.75,136841.0,1245.0,9133.06
2020-11-20,65.6,69.6,65.6,69.0,5.34,124844.0,903.0,8520.17
2020-11-19,65.4,66.1,65.2,65.5,0.15,39759.0,437.0,2608.13
