Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2020-12-30,280.5,280.5,270.4,274.7,-2.07,650137.0,13984.0,179231.01
2020-12-29,279.5,285.2,274.4,280.5,2.37,690382.0,15626.0,192966.39
2020-12-28,265.0,274.0,257.1,274.0,1.86,1032496.0,20626.0,277109.15
2020-12-23,275.0,275.6,252.0,269.0,0.49,1448707.0,27713.0,381974.38
2020-12-22,262.6,275.9,262.0,267.7,4.57,1494473.0,31089.0,400544.62
2020-12-21,260.0,265.3,248.0,256.0,-5.67,2711140.0,45987.0,688121.17
2020-12-18,260.0,272.6,242.5,271.4,-12.23,5437869.0,100569.0,1417566.25
2020-12-17,305.0,313.9,305.0,309.2,3.07,1073399.0,20497.0,331996.32
2020-12-16,299.3,304.0,290.0,300.0,0.0,1120401.0,23986.0,334446.52
2020-12-15,303.8,316.8,294.0,300.0,1.32,2655726.0,52896.0,806723.47
2020-12-14,265.0,298.0,238.5,296.1,-7.61,5364891.0,103776.0,1477540.36
2020-12-11,358.8,358.8,308.3,320.5,-11.46,3966471.0,83824.0,1287916.39
2020-12-10,391.5,401.1,358.3,362.0,-8.54,2046291.0,53788.0,764969.34
2020-12-09,399.7,412.1,383.2,395.8,0.2,1413456.0,38300.0,561753.52
2020-12-08,400.0,410.4,385.0,395.0,-7.08,1871186.0,44955.0,745315.93
2020-12-07,446.5,464.2,401.9,425.1,-4.04,1427636.0,41288.0,628666.47
2020-12-04,422.8,443.5,422.5,443.0,5.23,471516.0,13575.0,204410.28
2020-12-03,426.0,428.0,418.0,421.0,-0.94,482448.0,11116.0,203994.21
2020-12-02,411.2,426.0,404.7,425.0,4.68,565809.0,15291.0,235017.89
2020-12-01,392.4,418.2,392.4,406.0,4.24,938472.0,21790.0,382516.55
2020-11-30,366.0,391.2,366.0,389.5,7.39,1054873.0,21789.0,405954.11
2020-11-27,359.0,364.0,352.6,362.7,1.06,382787.0,12297.0,136873.35
2020-11-26,369.0,377.5,358.0,358.9,-1.4,496367.0,13759.0,181962.17
2020-11-25,372.2,373.5,363.1,364.0,-1.91,346767.0,10091.0,126638.32
2020-11-24,375.0,377.0,365.5,371.1,-0.4,278353.0,10450.0,103021.99
2020-11-23,377.5,389.0,372.0,372.6,0.11,325867.0,11239.0,123697.84
2020-11-20,368.1,376.1,368.0,372.2,1.14,295547.0,8557.0,110053.33
2020-11-19,374.0,374.0,365.5,368.0,-1.74,338478.0,8838.0,124463.71
2020-11-18,371.0,378.8,370.0,374.5,1.33,309337.0,9630.0,115903.23
2020-11-17,360.0,371.0,359.2,369.6,2.55,293779.0,9492.0,107362.06
2020-11-16,370.0,371.9,360.4,360.4,-0.83,308156.0,8644.0,112293.33
2020-11-13,372.5,372.5,363.1,363.4,-2.42,286437.0,8502.0,104805.38
2020-11-12,371.0,378.4,367.2,372.4,1.83,443935.0,11892.0,165325.91
2020-11-10,375.0,378.7,353.5,365.7,-1.53,808745.0,19416.0,296702.14
2020-11-09,389.0,401.1,369.1,371.4,-3.05,973131.0,23249.0,372184.0
2020-11-06,373.0,389.0,371.5,383.1,3.23,378072.0,8112.0,143175.64
2020-11-05,387.9,396.2,370.0,371.1,-2.65,764027.0,13978.0,293761.04
2020-11-04,365.0,386.9,359.8,381.2,4.44,754994.0,14643.0,283395.47
2020-11-03,347.5,366.5,343.0,365.0,6.51,585150.0,13907.0,208199.3
2020-11-02,343.6,348.8,341.4,342.7,2.18,463670.0,11589.0,159811.65
2020-10-30,351.7,352.0,333.3,335.4,-5.25,582121.0,12443.0,197504.59
2020-10-29,336.0,356.5,334.0,354.0,6.95,764403.0,15851.0,264968.78
2020-10-28,349.0,353.9,320.0,331.0,-9.09,1568707.0,33675.0,533776.1
2020-10-27,363.2,380.0,362.6,364.1,1.14,686229.0,14270.0,254547.94
2020-10-26,354.5,365.6,354.0,360.0,1.84,374905.0,10003.0,135637.24
2020-10-23,367.4,370.1,352.7,353.5,-3.57,782009.0,13588.0,279163.83
