Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2020-12-30,30.8,30.94,30.06,30.28,-1.3,631140.0,3561.0,19280.16
2020-12-29,30.3,30.68,29.72,30.68,2.27,435313.0,1353.0,13153.34
2020-12-28,29.44,30.1,29.24,30.0,3.52,521928.0,1900.0,15528.75
2020-12-23,28.52,28.98,28.38,28.98,0.77,149356.0,774.0,4288.24
2020-12-22,29.0,29.0,28.1,28.76,0.07,170587.0,822.0,4863.88
2020-12-21,29.2,29.2,27.94,28.74,-0.62,428461.0,1769.0,12250.54
2020-12-18,29.18,29.56,28.76,28.92,-0.28,923671.0,3878.0,26802.96
2020-12-17,29.6,29.78,28.62,29.0,-1.49,481103.0,1436.0,13965.06
2020-12-16,28.76,29.84,28.58,29.44,2.51,538397.0,2318.0,15748.44
2020-12-15,28.0,28.72,27.92,28.72,2.57,326978.0,1317.0,9324.98
2020-12-14,28.2,28.48,27.92,28.0,0.29,284034.0,996.0,8011.63
2020-12-11,27.18,28.06,27.12,27.92,2.12,451566.0,1639.0,12497.41
2020-12-10,28.0,28.24,27.02,27.34,-2.15,283201.0,1079.0,7788.17
2020-12-09,28.4,28.4,27.72,27.94,-1.34,1037896.0,4184.0,29095.25
2020-12-08,28.0,28.48,27.6,28.32,1.72,838211.0,2942.0,23501.42
2020-12-07,27.7,27.86,27.3,27.84,0.65,435409.0,1295.0,12067.45
2020-12-04,27.48,27.7,27.26,27.66,0.66,312078.0,1243.0,8592.58
2020-12-03,27.3,27.78,27.08,27.48,1.78,459675.0,1709.0,12635.61
2020-12-02,26.52,27.3,26.3,27.0,2.04,719785.0,2457.0,19341.16
2020-12-01,26.4,26.78,26.14,26.46,-0.9,476361.0,2058.0,12559.74
2020-11-30,26.88,26.88,26.44,26.7,-1.48,1783473.0,3962.0,47583.61
2020-11-27,27.08,27.34,26.82,27.1,-0.66,335553.0,1006.0,9090.7
2020-11-26,27.0,27.28,26.82,27.28,1.49,214012.0,1043.0,5802.25
2020-11-25,26.68,27.0,26.6,26.88,1.28,741440.0,1942.0,19910.38
2020-11-24,26.66,26.72,26.4,26.54,-0.67,444873.0,1913.0,11799.8
2020-11-23,26.62,26.9,26.44,26.72,0.38,511107.0,2561.0,13599.65
2020-11-20,26.68,26.84,26.4,26.62,-0.89,446325.0,2462.0,11873.45
2020-11-19,26.92,27.12,26.46,26.86,-1.47,616769.0,2084.0,16524.17
